"Ionic radius ","Temperature","Frequency","Re(Z)","Img(Z)"
"1.82E-10","-10","1.00E+6","3.16E+3","9.67E+3"
"1.82E-10","-10","9.26E+5","3.48E+3","1.02E+4"
"1.82E-10","-10","8.58E+5","3.84E+3","1.03E+4"
"1.82E-10","-10","7.94E+5","4.21E+3","1.06E+4"
"1.82E-10","-10","7.36E+5","4.53E+3","1.09E+4"
"1.82E-10","-10","6.81E+5","4.87E+3","1.13E+4"
"1.82E-10","-10","6.31E+5","5.22E+3","1.16E+4"
"1.82E-10","-10","5.84E+5","5.57E+3","1.20E+4"
"1.82E-10","-10","5.41E+5","5.94E+3","1.24E+4"
"1.82E-10","-10","5.01E+5","6.33E+3","1.29E+4"
"1.82E-10","-10","4.64E+5","6.66E+3","1.33E+4"
"1.82E-10","-10","4.30E+5","7.19E+3","1.38E+4"
"1.82E-10","-10","3.98E+5","7.55E+3","1.41E+4"
"1.82E-10","-10","3.69E+5","7.97E+3","1.48E+4"
"1.82E-10","-10","3.41E+5","8.46E+3","1.52E+4"
"1.82E-10","-10","3.16E+5","8.93E+3","1.58E+4"
"1.82E-10","-10","2.93E+5","9.43E+3","1.62E+4"
"1.82E-10","-10","2.71E+5","9.95E+3","1.69E+4"
"1.82E-10","-10","2.51E+5","1.05E+4","1.75E+4"
"1.82E-10","-10","2.33E+5","1.10E+4","1.81E+4"
"1.82E-10","-10","2.15E+5","1.16E+4","1.86E+4"
"1.82E-10","-10","2.00E+5","1.22E+4","1.93E+4"
"1.82E-10","-10","1.85E+5","1.28E+4","1.99E+4"
"1.82E-10","-10","1.71E+5","1.35E+4","2.07E+4"
"1.82E-10","-10","1.58E+5","1.42E+4","2.13E+4"
"1.82E-10","-10","1.47E+5","1.47E+4","2.21E+4"
"1.82E-10","-10","1.36E+5","1.54E+4","2.28E+4"
"1.82E-10","-10","1.26E+5","1.62E+4","2.37E+4"
"1.82E-10","-10","1.17E+5","1.69E+4","2.44E+4"
"1.82E-10","-10","1.08E+5","1.77E+4","2.52E+4"
"1.82E-10","-10","1.00E+5","1.85E+4","2.61E+4"
"1.82E-10","-10","9.26E+4","1.93E+4","2.70E+4"
"1.82E-10","-10","8.58E+4","2.01E+4","2.79E+4"
"1.82E-10","-10","7.94E+4","2.09E+4","2.90E+4"
"1.82E-10","-10","7.36E+4","2.18E+4","3.01E+4"
"1.82E-10","-10","6.81E+4","2.27E+4","3.12E+4"
"1.82E-10","-10","6.31E+4","2.37E+4","3.23E+4"
"1.82E-10","-10","5.84E+4","2.46E+4","3.34E+4"
"1.82E-10","-10","5.41E+4","2.58E+4","3.49E+4"
"1.82E-10","-10","5.01E+4","2.70E+4","3.62E+4"
"1.82E-10","-10","4.64E+4","2.82E+4","3.75E+4"
"1.82E-10","-10","4.30E+4","2.93E+4","3.89E+4"
"1.82E-10","-10","3.98E+4","3.00E+4","4.03E+4"
"1.82E-10","-10","3.69E+4","3.12E+4","4.18E+4"
"1.82E-10","-10","3.41E+4","3.26E+4","4.34E+4"
"1.82E-10","-10","3.16E+4","3.41E+4","4.52E+4"
"1.82E-10","-10","2.93E+4","3.55E+4","4.67E+4"
"1.82E-10","-10","2.71E+4","3.71E+4","4.84E+4"
"1.82E-10","-10","2.51E+4","3.88E+4","5.02E+4"
"1.82E-10","-10","2.33E+4","4.07E+4","5.24E+4"
"1.82E-10","-10","2.15E+4","4.19E+4","5.37E+4"
"1.82E-10","-10","1.99E+4","4.33E+4","5.58E+4"
"1.82E-10","-10","1.85E+4","4.47E+4","5.76E+4"
"1.82E-10","-10","1.71E+4","4.66E+4","5.96E+4"
"1.82E-10","-10","1.58E+4","4.84E+4","6.18E+4"
"1.82E-10","-10","1.47E+4","4.98E+4","6.41E+4"
"1.82E-10","-10","1.36E+4","5.10E+4","6.63E+4"
"1.82E-10","-10","1.26E+4","5.21E+4","6.86E+4"
"1.82E-10","-10","1.17E+4","5.39E+4","7.18E+4"
"1.82E-10","-10","1.08E+4","5.52E+4","7.48E+4"
"1.82E-10","-10","1.00E+4","5.67E+4","7.83E+4"
"1.82E-10","-10","9.26E+3","5.78E+4","8.18E+4"
"1.82E-10","-10","8.57E+3","5.89E+4","8.57E+4"
"1.82E-10","-10","7.94E+3","6.03E+4","9.02E+4"
"1.82E-10","-10","7.35E+3","6.19E+4","9.50E+4"
"1.82E-10","-10","6.81E+3","6.31E+4","1.00E+5"
"1.82E-10","-10","6.31E+3","6.44E+4","1.06E+5"
"1.82E-10","-10","5.84E+3","6.57E+4","1.12E+5"
"1.82E-10","-10","5.41E+3","6.76E+4","1.19E+5"
"1.82E-10","-10","5.01E+3","6.94E+4","1.26E+5"
"1.82E-10","-10","4.64E+3","7.16E+4","1.34E+5"
"1.82E-10","-10","4.30E+3","7.41E+4","1.42E+5"
"1.82E-10","-10","3.98E+3","7.67E+4","1.51E+5"
"1.82E-10","-10","3.69E+3","7.97E+4","1.61E+5"
"1.82E-10","-10","3.42E+3","8.27E+4","1.70E+5"
"1.82E-10","-10","3.16E+3","8.71E+4","1.82E+5"
"1.82E-10","-10","2.93E+3","9.15E+4","1.94E+5"
"1.82E-10","-10","2.71E+3","9.65E+4","2.06E+5"
"1.82E-10","-10","2.51E+3","1.02E+5","2.19E+5"
"1.82E-10","-10","2.33E+3","1.08E+5","2.33E+5"
"1.82E-10","-10","2.15E+3","1.15E+5","2.48E+5"
"1.82E-10","-10","2.00E+3","1.23E+5","2.62E+5"
"1.82E-10","-10","1.85E+3","1.30E+5","2.79E+5"
"1.82E-10","-10","1.71E+3","1.42E+5","2.96E+5"
"1.82E-10","-10","1.58E+3","1.52E+5","3.15E+5"
"1.82E-10","-10","1.47E+3","1.66E+5","3.33E+5"
"1.82E-10","-10","1.36E+3","1.78E+5","3.52E+5"
"1.82E-10","-10","1.26E+3","1.90E+5","3.71E+5"
