"SITEGRID_ID","STATION_ID","OBS_DATE","OBS_TIME","SAMPLE_DISTANCE","PROBE_DEPTH","SOIL_TEMP","TOTAL_IMPEDANCE","FIFE_DATA_CRTFCN_CODE","LAST_REVISION_DATE","source_file"
"'4609-IPU'","17","24-MAY-87","2003","","10","25.4","368.75","'PRE    '","08-DEC-88","7144mult.sim"
"'4609-IPU'","17","24-MAY-87","2005","","5","26.1","237.44","'PRE    '","08-DEC-88","7144mult.sim"
"'8639-IPU'","21","24-MAY-87","1808","","10","22.5","329.69","'PRE    '","08-DEC-88","7144mult.sim"
"'8639-IPU'","21","24-MAY-87","1808","","5","22.7","495.96","'PRE    '","08-DEC-88","7144mult.sim"
"'4268-IPU'","32","25-MAY-87","2051","","10","26.3","374.33","'PRE    '","08-DEC-88","7145mult.sim"
"'4268-IPU'","32","25-MAY-87","2053","","5","26.9","338.79","'PRE    '","08-DEC-88","7145mult.sim"
"'4609-IPU'","17","25-MAY-87","1601","","5","19.9","166.01","'PRE    '","08-DEC-88","7145mult.sim"
"'4609-IPU'","17","25-MAY-87","1603","","10","19.3","324.67","'PRE    '","08-DEC-88","7145mult.sim"
"'8639-IPU'","21","25-MAY-87","1653","","10","20.2","317.16","'PRE    '","08-DEC-88","7145mult.sim"
"'8639-IPU'","21","25-MAY-87","1653","","5","21.9","210.02","'PRE    '","08-DEC-88","7145mult.sim"
"'2731-IPU'","1","26-MAY-87","1724","","10","23.9","188.52","'PRE    '","08-DEC-88","7146mult.sim"
"'2731-IPU'","1","26-MAY-87","1726","","5","24.8","216.09","'PRE    '","08-DEC-88","7146mult.sim"
"'4439-IPU'","11","26-MAY-87","1511","","10","22.8","237.89","'PRE    '","08-DEC-88","7146mult.sim"
"'4439-IPU'","11","26-MAY-87","1513","","5","23.1","209.78","'PRE    '","08-DEC-88","7146mult.sim"
"'4609-IPU'","17","26-MAY-87","2117","","5","23.9","196.78","'PRE    '","08-DEC-88","7146mult.sim"
"'4609-IPU'","17","26-MAY-87","2119","","10","23.6","329.79","'PRE    '","08-DEC-88","7146mult.sim"
"'8639-IPU'","21","26-MAY-87","2030","","10","24.1","296.27","'PRE    '","08-DEC-88","7146mult.sim"
