SITEGRID_ID,STATION_ID,OBS_DATE,OBS_TIME,SAMPLE_DISTANCE,PROBE_DEPTH,SOIL_TEMP,TOTAL_IMPEDANCE,FIFE_DATA_CRTFCN_CODE,LAST_REVISION_DATE,source_file,cluster
4609-IPU,17,1987-05-24,2003,,10,25.4,368.75,PRE,08-DEC-88,7144mult.sim,1.0
4609-IPU,17,1987-05-24,2005,,5,26.1,237.44,PRE,08-DEC-88,7144mult.sim,0.0
8639-IPU,21,1987-05-24,1808,,10,22.5,329.69,PRE,08-DEC-88,7144mult.sim,1.0
8639-IPU,21,1987-05-24,1808,,5,22.7,495.96,PRE,08-DEC-88,7144mult.sim,0.0
4268-IPU,32,1987-05-25,2051,,10,26.3,374.33,PRE,08-DEC-88,7145mult.sim,1.0
4268-IPU,32,1987-05-25,2053,,5,26.9,338.79,PRE,08-DEC-88,7145mult.sim,0.0
4609-IPU,17,1987-05-25,1601,,5,19.9,166.01,PRE,08-DEC-88,7145mult.sim,0.0
4609-IPU,17,1987-05-25,1603,,10,19.3,324.67,PRE,08-DEC-88,7145mult.sim,1.0
8639-IPU,21,1987-05-25,1653,,10,20.2,317.16,PRE,08-DEC-88,7145mult.sim,1.0
8639-IPU,21,1987-05-25,1653,,5,21.9,210.02,PRE,08-DEC-88,7145mult.sim,0.0
2731-IPU,1,1987-05-26,1724,,10,23.9,188.52,PRE,08-DEC-88,7146mult.sim,1.0
2731-IPU,1,1987-05-26,1726,,5,24.8,216.09,PRE,08-DEC-88,7146mult.sim,0.0
4439-IPU,11,1987-05-26,1511,,10,22.8,237.89,PRE,08-DEC-88,7146mult.sim,1.0
4439-IPU,11,1987-05-26,1513,,5,23.1,209.78,PRE,08-DEC-88,7146mult.sim,0.0
4609-IPU,17,1987-05-26,2117,,5,23.9,196.78,PRE,08-DEC-88,7146mult.sim,0.0
4609-IPU,17,1987-05-26,2119,,10,23.6,329.79,PRE,08-DEC-88,7146mult.sim,1.0
8639-IPU,21,1987-05-26,2030,,10,24.1,296.27,PRE,08-DEC-88,7146mult.sim,1.0
8639-IPU,21,1987-05-26,2030,,5,25.2,253.66,PRE,08-DEC-88,7146mult.sim,0.0
2731-IPU,1,1987-05-28,1901,,10,21.2,177.6,PRE,08-DEC-88,7148mult.sim,1.0
2731-IPU,1,1987-05-28,1903,,5,22.3,159.62,PRE,08-DEC-88,7148mult.sim,0.0
2840-IPU,883,1987-05-28,1600,2015.0,3,,198.33,PRE,19-SEP-89,7148mult.sim,
2840-IPU,883,1987-05-28,1605,1965.0,3,,238.62,PRE,19-SEP-89,7148mult.sim,
2840-IPU,883,1987-05-28,1610,1915.0,3,,306.12,PRE,19-SEP-89,7148mult.sim,
2840-IPU,883,1987-05-28,1615,1865.0,3,,283.93,PRE,19-SEP-89,7148mult.sim,
2840-IPU,883,1987-05-28,1620,1815.0,3,,214.73,PRE,19-SEP-89,7148mult.sim,
2840-IPU,883,1987-05-28,1625,1765.0,3,,171.65,PRE,19-SEP-89,7148mult.sim,
2840-IPU,883,1987-05-28,1631,1715.0,3,,138.37,PRE,19-SEP-89,7148mult.sim,
2840-IPU,883,1987-05-28,1635,1665.0,3,,185.97,PRE,19-SEP-89,7148mult.sim,
2840-IPU,883,1987-05-28,1640,1615.0,3,,273.06,PRE,19-SEP-89,7148mult.sim,
2840-IPU,883,1987-05-28,1645,1580.0,3,,146.01,PRE,19-SEP-89,7148mult.sim,
2840-IPU,883,1987-05-28,1649,1552.0,3,,204.46,PRE,19-SEP-89,7148mult.sim,
2840-IPU,883,1987-05-28,1655,1517.0,3,,128.46,PRE,19-SEP-89,7148mult.sim,
2840-IPU,883,1987-05-28,1700,1467.0,3,,172.87,PRE,19-SEP-89,7148mult.sim,
2840-IPU,883,1987-05-28,1704,1417.0,3,,134.02,PRE,19-SEP-89,7148mult.sim,
2840-IPU,883,1987-05-28,1709,1367.0,3,,135.48,PRE,19-SEP-89,7148mult.sim,
2940-IPU,884,1987-05-28,1714,1395.0,3,,148.96,PRE,19-SEP-89,7148mult.sim,
2940-IPU,884,1987-05-28,1719,1445.0,3,,155.06,PRE,19-SEP-89,7148mult.sim,
2940-IPU,884,1987-05-28,1723,1495.0,3,,169.43,PRE,19-SEP-89,7148mult.sim,
2940-IPU,884,1987-05-28,1727,1545.0,3,,178.6,PRE,19-SEP-89,7148mult.sim,
2940-IPU,884,1987-05-28,1733,1595.0,3,,167.2,PRE,19-SEP-89,7148mult.sim,
2940-IPU,884,1987-05-28,1739,1645.0,3,,142.24,PRE,19-SEP-89,7148mult.sim,
2940-IPU,884,1987-05-28,1745,1695.0,3,,135.09,PRE,19-SEP-89,7148mult.sim,
2940-IPU,884,1987-05-28,1755,1730.0,3,,172.41,PRE,19-SEP-89,7148mult.sim,
2940-IPU,884,1987-05-28,1801,1780.0,3,,185.67,PRE,19-SEP-89,7148mult.sim,
2940-IPU,884,1987-05-28,1805,1830.0,3,,180.52,PRE,19-SEP-89,7148mult.sim,
2940-IPU,884,1987-05-28,1824,1930.0,3,,162.39,PRE,19-SEP-89,7148mult.sim,
2940-IPU,884,1987-05-28,1829,1980.0,3,,334.31,PRE,19-SEP-89,7148mult.sim,
2940-IPU,884,1987-05-28,1834,2030.0,3,,178.01,PRE,19-SEP-89,7148mult.sim,
2940-IPU,884,1987-05-28,1842,2072.0,3,,345.27,PRE,19-SEP-89,7148mult.sim,
2940-IPU,884,1987-05-28,1846,2114.0,3,,151.72,PRE,19-SEP-89,7148mult.sim,
4439-IPU,11,1987-05-28,2336,,10,22.5,184.18,PRE,08-DEC-88,7148mult.sim,1.0
4439-IPU,11,1987-05-28,2338,,5,22.8,170.7,PRE,08-DEC-88,7148mult.sim,0.0
4609-IPU,17,1987-05-28,2248,,10,22.1,195.28,PRE,08-DEC-88,7148mult.sim,1.0
4609-IPU,17,1987-05-28,2248,,5,22.6,231.54,PRE,08-DEC-88,7148mult.sim,0.0
8639-IPU,21,1987-05-28,2215,,10,22.3,165.92,PRE,08-DEC-88,7148mult.sim,1.0
8639-IPU,21,1987-05-28,2215,,5,23.7,163.52,PRE,08-DEC-88,7148mult.sim,0.0
2731-IPU,1,1987-05-29,1903,,10,22.6,206.06,PRE,08-DEC-88,7149mult.sim,1.0
2731-IPU,1,1987-05-29,1905,,5,23.9,164.82,PRE,08-DEC-88,7149mult.sim,0.0
2840-IPU,883,1987-05-29,1604,2015.0,3,,193.82,PRE,19-SEP-89,7149mult.sim,
2840-IPU,883,1987-05-29,1607,1965.0,3,,183.7,PRE,19-SEP-89,7149mult.sim,
2840-IPU,883,1987-05-29,1611,1915.0,3,,5494.79,PRE,19-SEP-89,7149mult.sim,
2840-IPU,883,1987-05-29,1621,1865.0,3,,263.33,PRE,19-SEP-89,7149mult.sim,
2840-IPU,883,1987-05-29,1626,1815.0,3,,215.79,PRE,19-SEP-89,7149mult.sim,
