key,ionic_radius,temperature,n_points,f_min_hz,f_max_hz,Z_min_ohm,Z_max_ohm
r=1.820e-10_T=-10,1.82e-10,-10.0,181,1.0,1000000.0,10173.224660843778,3629448.9939934406
r=1.820e-10_T=0,1.82e-10,0.0,181,1.0,1000000.0,5722.464504040196,3007191.3806740004
r=1.820e-10_T=10,1.82e-10,10.0,181,1.0,1000000.0,6090.525428893635,2884527.6909747287
r=1.820e-10_T=20,1.82e-10,20.0,181,1.0,1000000.0,12466.932260985459,352080.95659947296
r=1.820e-10_T=30,1.82e-10,30.0,181,1.0,1000000.0,12466.932260985459,352080.95659947296
r=1.820e-10_T=40,1.82e-10,40.0,181,1.0,1000000.0,11603.882970799043,271843.63152371254
r=1.820e-10_T=50,1.82e-10,50.0,181,1.0,1000000.0,12339.222017615211,266844.6926584825
r=1.820e-10_T=60,1.82e-10,60.0,181,1.0,1000000.0,12712.985487288184,262595.29698758887
r=1.820e-10_T=70,1.82e-10,70.0,181,1.0,1000000.0,12482.487732819929,254784.71304220747
r=2.060e-10_T=-10,2.06e-10,-10.0,151,1.0,1000000.0,8964.424130974616,196476.9961089593
r=2.060e-10_T=-5,2.06e-10,-5.0,151,1.0,1000000.0,7884.167679596877,185330.7583753976
r=2.060e-10_T=0,2.06e-10,0.0,151,1.0,1000000.0,7300.801325881975,162975.73439012322
r=2.060e-10_T=5,2.06e-10,5.0,151,1.0,1000000.0,6476.54228736291,149655.73827955947
r=2.060e-10_T=10,2.06e-10,10.0,151,1.0,1000000.0,5815.573918367817,135620.09438132684
r=2.060e-10_T=15,2.06e-10,15.0,151,1.0,1000000.0,5362.881688047947,130565.84545737832
r=2.060e-10_T=20,2.06e-10,20.0,151,1.0,1000000.0,4919.400369963802,115335.38052133005
r=2.060e-10_T=25,2.06e-10,25.0,151,1.0,1000000.0,4528.5980170467765,110256.79117405876
r=2.060e-10_T=30,2.06e-10,30.0,151,1.0,1000000.0,4259.589182069088,107245.93232379493
r=2.060e-10_T=35,2.06e-10,35.0,151,1.0,1000000.0,4083.8339829136053,100487.06384405906
r=2.060e-10_T=40,2.06e-10,40.0,151,1.0,1000000.0,3706.818042472546,86904.83300714637
r=2.060e-10_T=45,2.06e-10,45.0,151,1.0,1000000.0,3302.9683619435414,83723.35397008412
r=2.060e-10_T=50,2.06e-10,50.0,301,1.0,1000000.0,3679.7961900083546,88791.9478331228
r=2.060e-10_T=55,2.06e-10,55.0,151,1.0,1000000.0,2807.7749197540747,84831.12636290997
r=2.060e-10_T=60,2.06e-10,60.0,151,1.0,1000000.0,2603.8625155718187,84488.63828941736
r=2.060e-10_T=65,2.06e-10,65.0,151,1.0,1000000.0,2409.502023240487,83173.67371951295
r=2.060e-10_T=70,2.06e-10,70.0,151,1.0,1000000.0,2224.634801489898,80410.5092634041
r=2.060e-10_T=75,2.06e-10,75.0,151,1.0,1000000.0,2062.896264963413,76611.03053738411
r=2.060e-10_T=80,2.06e-10,80.0,151,1.0,1000000.0,1907.6228662919723,73175.54236218547
