key,ionic_radius,temperature,Rs,R,tau,alpha,rmse_real,rmse_imag,rmse_rel,n_points,success,message
r=1.820e-10_T=-10,1.82e-10,-10.0,8.4307995029235e-11,3134155.616302571,0.003229537415527477,0.6130675208667667,133776.90056598038,270375.78237781895,0.14073179908832759,181,True,`ftol` termination condition is satisfied.
r=1.820e-10_T=0,1.82e-10,0.0,3300.4224915256486,1634420.317180663,0.0010201055263992945,0.7408454206217505,196408.07667148102,354672.8026136101,0.1689191221322466,181,True,`ftol` termination condition is satisfied.
r=1.820e-10_T=10,1.82e-10,10.0,3472.831556249677,1293547.9379991263,0.000867078762874021,0.7235026752068188,233990.6180216156,374069.59064845263,0.18841396278658695,181,True,`ftol` termination condition is satisfied.
r=1.820e-10_T=20,1.82e-10,20.0,1.933900894001176e-21,243875.4644110348,2.5008316008392568e-05,0.6013950579680701,24432.900123794992,39840.61997793978,0.1499778359456418,181,True,`ftol` termination condition is satisfied.
r=1.820e-10_T=30,1.82e-10,30.0,1.933900894001176e-21,243875.4644110348,2.5008316008392568e-05,0.6013950579680701,24432.900123794992,39840.61997793978,0.1499778359456418,181,True,`ftol` termination condition is satisfied.
r=1.820e-10_T=40,1.82e-10,40.0,2.8776358430569023e-13,161633.85678709397,1.6098470968647305e-05,0.5751237039232271,20706.332028798788,27751.42388472601,0.13027911925204386,181,True,`ftol` termination condition is satisfied.
r=1.820e-10_T=50,1.82e-10,50.0,6.246423601010603e-08,159571.62888198005,1.07123664152468e-05,0.5953884002910534,22122.71751637826,25253.099375849477,0.1272450549407588,181,True,`xtol` termination condition is satisfied.
r=1.820e-10_T=60,1.82e-10,60.0,1.2927043571372689e-25,159326.1896841103,9.577946647420056e-06,0.5997136411393362,24257.19438382726,23525.2903656929,0.12798420326973745,181,True,`ftol` termination condition is satisfied.
r=1.820e-10_T=70,1.82e-10,70.0,1.986906615562425e-28,151487.06980660657,1.1540433417074547e-05,0.5675466047427318,25529.38960720918,23178.67502129053,0.13338709497949736,181,True,`ftol` termination condition is satisfied.
r=2.060e-10_T=-10,2.06e-10,-10.0,8744.87034387996,120881.18470540391,2.259104708876376e-05,0.8703693584089355,19246.37924033056,14994.131876408563,0.11072295669867666,151,True,`xtol` termination condition is satisfied.
r=2.060e-10_T=-5,2.06e-10,-5.0,7773.090043251299,116939.84606899963,2.245750288569074e-05,0.8791125879072822,16852.289483115477,13705.966526683433,0.10572074309526032,151,True,`xtol` termination condition is satisfied.
r=2.060e-10_T=0,2.06e-10,0.0,7357.263809367542,106415.32242847167,2.0571368305479495e-05,0.9012322064124683,14059.713005545607,12923.243097250892,0.10677476305350021,151,True,Both `ftol` and `xtol` termination conditions are satisfied.
r=2.060e-10_T=5,2.06e-10,5.0,6608.709909323221,103155.89897908221,2.0183717829420884e-05,0.9094200119374221,10696.79683153926,9788.36034658067,0.08528886190153001,151,True,`xtol` termination condition is satisfied.
r=2.060e-10_T=10,2.06e-10,10.0,5894.666352744235,95691.0774722454,1.93725253183648e-05,0.9198475157039304,8914.890609651226,8438.69047661549,0.07949976756124376,151,True,`xtol` termination condition is satisfied.
r=2.060e-10_T=15,2.06e-10,15.0,5093.600033844855,88005.93407547192,1.8241591437413693e-05,0.9196474220924373,10143.141070221072,12989.044572393885,0.12749925931844155,151,True,`xtol` termination condition is satisfied.
r=2.060e-10_T=20,2.06e-10,20.0,4973.197776059245,84317.8551446389,1.8101003947893416e-05,0.9344290574804767,6750.194157454043,6753.748465903767,0.07175740436806158,151,True,`xtol` termination condition is satisfied.
r=2.060e-10_T=25,2.06e-10,25.0,4569.833442851566,81091.9425168199,1.798612688957291e-05,0.9373091602567517,6117.296176713162,6331.034144220284,0.06965448584002935,151,True,`xtol` termination condition is satisfied.
r=2.060e-10_T=30,2.06e-10,30.0,4223.139789938009,79169.07188363856,1.8100715685890227e-05,0.9369588490890229,5758.499115345965,6087.373939485072,0.06841642369650563,151,True,`xtol` termination condition is satisfied.
r=2.060e-10_T=35,2.06e-10,35.0,3944.7964884555013,72383.98756117899,1.581573648564614e-05,0.9232808583647741,5753.82666094921,5628.159010676975,0.06905464531998645,151,True,`xtol` termination condition is satisfied.
r=2.060e-10_T=40,2.06e-10,40.0,3547.823067718103,67133.99159529444,1.3737703583311062e-05,0.9304819613510609,4039.749341483479,4200.325395231036,0.05603461170602455,151,True,`xtol` termination condition is satisfied.
r=2.060e-10_T=45,2.06e-10,45.0,3208.3802692078903,62429.281468383415,1.4884114180925902e-05,0.9390550966485798,4267.631254005631,4290.007535599723,0.06081818078044892,151,True,`xtol` termination condition is satisfied.
r=2.060e-10_T=50,2.06e-10,50.0,3511.0204244047413,65923.58241646759,1.734453653964639e-05,0.9062398681158559,4435.598089095852,5027.065100057131,0.06450850663934317,301,True,`ftol` termination condition is satisfied.
r=2.060e-10_T=55,2.06e-10,55.0,2700.5745375917218,64159.37679726223,1.7342842993860573e-05,0.9424718781992931,3887.437264597725,4716.489005802207,0.060933423904313264,151,True,`xtol` termination condition is satisfied.
r=2.060e-10_T=60,2.06e-10,60.0,2488.137094361248,64108.29491861002,1.800407310784616e-05,0.9434948482643464,3765.271465870585,4624.9592501121715,0.05944421891335848,151,True,`xtol` termination condition is satisfied.
r=2.060e-10_T=65,2.06e-10,65.0,2281.030195274524,63830.472073719575,1.8520894362561934e-05,0.9458174018442589,3511.9427515656425,4419.869272581401,0.05689907217005803,151,True,`xtol` termination condition is satisfied.
r=2.060e-10_T=70,2.06e-10,70.0,2083.7486339816255,62269.618388155686,1.8516588764523243e-05,0.9481566603027307,3239.282299992305,4101.422953470083,0.05435981183356921,151,True,`xtol` termination condition is satisfied.
r=2.060e-10_T=75,2.06e-10,75.0,1911.1240246629745,60110.499060612296,1.8227608681643845e-05,0.9497024085376542,2921.1121148066736,3726.7028049845244,0.05133119236341099,151,True,`xtol` termination condition is satisfied.
r=2.060e-10_T=80,2.06e-10,80.0,1738.2770639304388,56735.73803341604,1.7497550748082033e-05,0.9505271370337369,2984.7037442314163,3611.9514507902954,0.05274641238156272,151,True,`xtol` termination condition is satisfied.
